tenure,contract,customer_satisfaction,num_complaints,late_payments,monthlycharges,churn
1,one_year,8.0,0.0,0,125.39,0
5,one_year,5.0,0.0,0,74.57,0
1,month_to_month,6.0,2.0,0,85.05,0
65,one_year,7.0,1.0,0,63.54,0
34,one_year,6.0,3.0,0,84.7,0
16,one_year,7.0,1.0,0,84.45,1
16,two_year,8.0,1.0,1,43.95,0
53,two_year,9.0,0.0,0,120.45,0
59,two_year,4.0,0.0,1,48.75,0
8,one_year,8.0,1.0,0,54.08,0
14,one_year,8.0,0.0,0,62.7,1
4,two_year,5.0,1.0,0,82.93,0
14,one_year,9.0,1.0,0,85.49,0
25,one_year,1.0,1.0,0,69.76,0
2,one_year,2.0,1.0,1,100.42,1
19,two_year,3.0,0.0,1,99.59,0
2,one_year,9.0,1.0,0,82.79,0
2,one_year,3.0,1.0,0,70.39,0
14,one_year,9.0,1.0,0,152.55,0
10,two_year,6.0,1.0,0,69.1,0
18,two_year,7.0,0.0,1,97.4,0
5,one_year,8.0,0.0,2,119.17,1
10,one_year,8.0,0.0,0,85.8,0
9,two_year,3.0,0.0,2,54.89,0
1,two_year,8.0,3.0,1,88.74,0
5,two_year,7.0,1.0,0,72.71,0
72,one_year,8.0,0.0,1,98.45,0
19,two_year,9.0,2.0,0,77.41,0
7,two_year,7.0,0.0,0,113.27,0
18,one_year,1.0,1.0,0,68.03,0
9,one_year,9.0,0.0,0,64.71,0
1,two_year,3.0,1.0,1,64.62,0
4,one_year,7.0,0.0,1,72.91,0
13,one_year,5.0,0.0,0,93.37,1
7,two_year,7.0,1.0,0,112.8,0
6,two_year,7.0,1.0,0,136.99,0
72,two_year,7.0,0.0,0,114.79,0
20,one_year,3.0,0.0,1,53.28,1
1,two_year,9.0,0.0,0,58.87,0
3,one_year,7.0,1.0,0,111.77,0
9,two_year,8.0,0.0,0,139.83,0
2,one_year,6.0,1.0,0,102.91,0
6,one_year,9.0,0.0,0,96.4,0
15,one_year,7.0,1.0,0,116.24,0
26,two_year,3.0,1.0,0,74.31,0
9,two_year,7.0,1.0,1,93.04,0
12,one_year,2.0,0.0,0,71.51,0
25,two_year,9.0,0.0,0,128.22,0
21,two_year,8.0,0.0,0,98.74,0
19,one_year,6.0,1.0,1,88.58,0
57,two_year,8.0,1.0,2,97.98,0
2,one_year,6.0,1.0,1,146.39,0
3,one_year,6.0,0.0,0,114.09,0
9,one_year,7.0,0.0,0,59.47,0
12,one_year,1.0,0.0,0,39.91,0
64,one_year,2.0,0.0,1,87.45,1
36,one_year,8.0,0.0,1,74.33,0
14,one_year,7.0,0.0,0,96.9,0
26,two_year,4.0,2.0,0,47.03,0
27,one_year,4.0,1.0,0,80.88,0
1,two_year,8.0,0.0,1,56.35,0
11,two_year,5.0,0.0,0,101.22,0
61,two_year,7.0,0.0,0,81.85,0
36,two_year,3.0,0.0,2,90.09,0
6,one_year,7.0,0.0,0,123.13,0
1,one_year,9.0,1.0,0,73.28,1
4,one_year,7.0,0.0,0,87.5,0
51,two_year,9.0,1.0,0,137.34,0
7,one_year,3.0,2.0,0,85.89,0
1,one_year,4.0,1.0,1,57.21,0
1,one_year,4.0,2.0,1,100.35,0
28,two_year,5.0,1.0,1,90.47,0
16,one_year,5.0,1.0,0,59.82,0
7,one_year,9.0,1.0,0,89.44,0
5,one_year,8.0,0.0,1,51.21,1
5,two_year,2.0,1.0,0,120.23,0
8,one_year,9.0,0.0,3,89.7,0
5,one_year,5.0,3.0,1,83.23,0
7,two_year,7.0,1.0,0,103.54,0
19,one_year,8.0,1.0,1,117.73,0
10,two_year,4.0,1.0,0,44.84,0
14,one_year,5.0,0.0,1,51.27,1
7,one_year,9.0,0.0,2,83.62,0
2,month_to_month,7.0,1.0,0,108.37,1
8,one_year,7.0,1.0,0,101.8,0
8,two_year,2.0,1.0,0,115.12,0
30,two_year,4.0,1.0,1,85.69,0
27,one_year,9.0,0.0,0,90.35,1
72,one_year,9.0,0.0,0,107.22,0
56,one_year,3.0,0.0,0,53.29,0
30,one_year,7.0,0.0,0,62.41,0
27,one_year,9.0,0.0,1,79.68,0
12,one_year,8.0,0.0,0,96.31,1
4,two_year,2.0,2.0,0,77.62,0
8,one_year,7.0,1.0,1,100.06,0
35,one_year,5.0,0.0,0,86.38,0
28,two_year,7.0,2.0,0,111.61,1
28,one_year,5.0,0.0,0,94.81,0
6,two_year,9.0,0.0,0,99.38,0
11,one_year,7.0,0.0,0,42.84,0
45,two_year,3.0,1.0,0,53.81,0
1,two_year,9.0,1.0,0,81.17,0
72,one_year,8.0,2.0,0,68.61,0
8,two_year,7.0,0.0,0,39.5,0
72,one_year,6.0,1.0,0,90.41,0
1,one_year,9.0,0.0,0,89.06,0
10,one_year,8.0,0.0,0,43.64,0
48,one_year,8.0,0.0,0,108.01,0
1,one_year,9.0,0.0,0,85.19,0
8,one_year,7.0,3.0,0,62.21,0
6,one_year,9.0,1.0,1,75.99,1
1,two_year,4.0,0.0,1,73.65,1
21,one_year,3.0,1.0,1,89.96,0
29,one_year,4.0,2.0,0,93.62,0
10,one_year,7.0,0.0,0,104.97,0
18,one_year,8.0,3.0,0,91.57,0
26,two_year,9.0,1.0,1,100.56,1
60,two_year,5.0,1.0,1,95.01,0
46,one_year,6.0,1.0,0,81.61,0
11,two_year,5.0,1.0,0,41.6,0
17,two_year,4.0,0.0,0,81.51,0
27,one_year,3.0,0.0,1,112.72,0
27,two_year,8.0,1.0,1,108.03,0
1,one_year,9.0,1.0,1,103.99,0
10,two_year,9.0,0.0,0,101.99,1
5,one_year,2.0,1.0,0,61.58,0
26,two_year,9.0,1.0,0,125.97,0
17,one_year,7.0,0.0,0,56.28,1
25,two_year,8.0,0.0,0,34.44,0
55,two_year,8.0,0.0,1,84.88,0
9,two_year,5.0,0.0,0,73.05,0
30,one_year,6.0,0.0,0,80.17,0
1,one_year,6.0,0.0,0,84.76,0
18,one_year,8.0,0.0,1,99.46,0
50,two_year,7.0,2.0,1,79.89,1
72,one_year,3.0,1.0,0,74.39,0
42,one_year,9.0,1.0,0,47.08,0
9,month_to_month,4.0,2.0,1,56.91,1
21,one_year,9.0,1.0,0,48.52,0
27,two_year,4.0,0.0,0,63.19,0
10,one_year,3.0,0.0,0,92.48,0
14,two_year,4.0,1.0,0,78.67,0
1,one_year,6.0,0.0,0,98.23,0
58,one_year,8.0,0.0,1,85.67,0
3,two_year,8.0,1.0,0,92.9,0
22,one_year,9.0,1.0,1,47.14,0
1,one_year,3.0,0.0,1,52.5,0
72,one_year,3.0,1.0,0,97.63,0
11,two_year,4.0,0.0,0,81.03,0
1,one_year,7.0,0.0,2,57.71,0
34,one_year,8.0,0.0,1,90.09,0
2,two_year,3.0,1.0,0,86.62,0
22,two_year,7.0,1.0,0,75.94,0
16,month_to_month,6.0,3.0,0,67.78,1
6,one_year,6.0,1.0,0,90.37,1
20,two_year,9.0,1.0,1,64.19,0
20,one_year,5.0,0.0,0,29.72,0
26,one_year,9.0,1.0,0,113.31,0
34,two_year,5.0,0.0,0,128.11,0
62,two_year,9.0,0.0,0,102.81,0
28,two_year,6.0,1.0,1,78.33,0
26,one_year,7.0,1.0,0,126.11,0
2,two_year,9.0,0.0,0,86.86,0
13,one_year,7.0,1.0,0,58.03,1
38,one_year,7.0,1.0,0,80.76,0
14,one_year,7.0,1.0,0,78.72,0
72,one_year,6.0,3.0,1,89.07,0
19,two_year,7.0,0.0,2,59.88,0
2,one_year,5.0,1.0,0,76.61,0
18,two_year,7.0,0.0,0,67.89,0
15,one_year,7.0,0.0,1,123.48,0
24,one_year,9.0,0.0,1,58.56,0
15,one_year,7.0,0.0,0,77.1,0
22,one_year,3.0,1.0,0,94.37,0
33,one_year,5.0,2.0,1,115.99,0
1,two_year,7.0,0.0,1,120.62,0
21,two_year,7.0,1.0,1,96.26,0
34,two_year,8.0,0.0,0,73.86,0
37,two_year,7.0,0.0,0,49.35,0
51,two_year,4.0,2.0,0,69.8,0
20,one_year,4.0,0.0,0,67.97,0
36,one_year,2.0,1.0,0,66.31,0
12,one_year,3.0,1.0,1,84.81,1
49,two_year,8.0,1.0,2,95.14,0
15,two_year,2.0,1.0,1,67.08,0
1,one_year,6.0,1.0,0,72.84,0
35,one_year,7.0,0.0,0,74.06,0
29,one_year,8.0,0.0,1,76.39,0
33,one_year,7.0,2.0,0,86.8,0
13,two_year,6.0,0.0,1,118.02,0
42,two_year,2.0,1.0,0,92.86,0
8,two_year,7.0,0.0,0,102.56,0
1,one_year,1.0,0.0,0,93.14,0
31,two_year,8.0,0.0,0,99.39,0
23,one_year,9.0,4.0,0,82.73,0
5,two_year,3.0,0.0,0,87.06,1
28,two_year,7.0,0.0,0,105.37,0
53,one_year,6.0,0.0,0,99.24,0
45,one_year,7.0,0.0,0,96.89,0
2,one_year,9.0,3.0,0,99.95,1
16,two_year,4.0,0.0,1,81.41,0
72,two_year,6.0,0.0,0,89.57,0
5,one_year,2.0,0.0,3,81.04,0
12,one_year,1.0,0.0,0,100.18,0
6,two_year,9.0,2.0,0,77.16,0
20,one_year,5.0,0.0,0,46.23,0
28,one_year,9.0,2.0,2,102.88,0
1,two_year,9.0,1.0,0,72.3,0
33,one_year,9.0,0.0,0,65.48,0
46,two_year,7.0,2.0,0,30.28,0
22,two_year,5.0,1.0,0,110.66,0
9,two_year,6.0,1.0,0,56.69,0
7,one_year,8.0,1.0,0,99.81,0
32,one_year,3.0,1.0,0,88.16,0
12,one_year,5.0,0.0,0,56.82,0
7,one_year,5.0,1.0,0,93.23,0
72,one_year,7.0,0.0,1,73.73,0
24,two_year,4.0,2.0,1,58.51,0
1,two_year,9.0,0.0,1,107.35,0
19,two_year,7.0,4.0,0,96.68,0
1,one_year,8.0,1.0,2,117.0,0
43,one_year,6.0,0.0,1,107.54,0
3,two_year,9.0,0.0,0,97.23,0
9,two_year,5.0,1.0,1,83.56,0
8,two_year,9.0,1.0,0,56.44,0
13,one_year,8.0,2.0,2,101.99,0
16,one_year,6.0,1.0,0,54.68,0
14,one_year,9.0,2.0,2,91.88,0
12,two_year,8.0,1.0,1,78.49,0
2,one_year,5.0,2.0,0,60.51,0
72,one_year,8.0,1.0,0,148.6,0
6,one_year,8.0,0.0,2,94.19,0
2,two_year,5.0,2.0,0,102.33,0
35,two_year,9.0,2.0,1,98.92,0
7,two_year,7.0,1.0,0,126.76,0
2,one_year,9.0,1.0,0,100.46,0
5,one_year,7.0,0.0,0,50.45,0
12,two_year,9.0,1.0,1,129.51,0
4,one_year,9.0,0.0,0,52.99,0
33,two_year,8.0,0.0,2,72.72,0
8,one_year,1.0,1.0,0,48.06,0
70,one_year,9.0,2.0,1,57.65,0
41,two_year,6.0,0.0,1,79.66,0
72,one_year,7.0,1.0,0,78.68,0
8,one_year,3.0,1.0,0,103.41,0
14,one_year,4.0,1.0,0,77.64,1
15,one_year,5.0,1.0,0,124.48,0
19,one_year,6.0,0.0,1,67.93,0
10,one_year,5.0,0.0,0,71.5,0
32,one_year,7.0,0.0,1,31.46,0
24,one_year,3.0,0.0,1,51.44,0
37,one_year,9.0,0.0,1,110.74,0
72,one_year,5.0,0.0,0,74.28,0
1,one_year,7.0,0.0,0,92.04,0
19,two_year,8.0,0.0,1,91.2,0
14,one_year,5.0,0.0,1,43.99,0
6,one_year,7.0,3.0,1,72.17,0
13,two_year,8.0,0.0,0,68.11,0
4,one_year,8.0,0.0,0,95.29,0
27,one_year,2.0,0.0,0,81.87,0
1,one_year,6.0,1.0,0,45.8,0
16,one_year,9.0,2.0,0,98.01,1
32,one_year,9.0,0.0,0,113.66,0
20,one_year,3.0,2.0,1,124.18,0
10,two_year,8.0,0.0,0,81.93,0
2,two_year,5.0,1.0,0,97.57,0
11,two_year,3.0,1.0,0,125.13,0
15,two_year,9.0,1.0,1,103.64,0
3,two_year,7.0,0.0,0,73.07,0
1,two_year,6.0,1.0,0,92.36,0
1,one_year,8.0,0.0,0,90.14,0
40,two_year,1.0,0.0,0,93.93,0
62,one_year,7.0,0.0,1,102.7,0
8,two_year,8.0,1.0,0,58.17,0
72,two_year,7.0,0.0,2,67.32,0
5,two_year,6.0,1.0,0,77.44,0
30,two_year,7.0,0.0,0,75.75,0
9,one_year,7.0,2.0,0,67.86,0
19,one_year,9.0,0.0,0,102.17,1
5,one_year,9.0,2.0,1,29.35,0
3,two_year,3.0,0.0,0,91.56,0
34,one_year,8.0,0.0,0,45.43,0
66,two_year,5.0,1.0,1,86.13,1
45,two_year,8.0,1.0,0,107.13,0
1,one_year,4.0,0.0,0,62.87,0
3,one_year,4.0,0.0,1,81.74,0
6,one_year,8.0,0.0,0,101.71,0
11,month_to_month,4.0,3.0,0,113.75,0
72,one_year,6.0,3.0,0,106.7,0
10,one_year,8.0,0.0,0,64.74,0
72,two_year,8.0,4.0,0,43.79,0
10,one_year,1.0,1.0,0,60.79,1
1,two_year,7.0,1.0,3,91.54,0
8,one_year,6.0,0.0,0,76.23,1
32,one_year,7.0,0.0,0,51.23,0
1,one_year,7.0,0.0,1,73.98,0
27,two_year,2.0,0.0,1,104.82,0
67,two_year,9.0,2.0,2,104.33,0
47,one_year,7.0,2.0,0,149.96,0
15,two_year,2.0,1.0,1,91.21,0
22,one_year,6.0,1.0,0,60.19,0
21,two_year,9.0,0.0,0,52.67,0
28,one_year,7.0,0.0,0,61.87,0
15,two_year,5.0,0.0,0,45.34,0
13,one_year,7.0,1.0,1,77.01,0
4,one_year,7.0,0.0,1,134.42,0
37,two_year,7.0,0.0,0,125.75,0
17,two_year,5.0,0.0,0,113.26,0
20,one_year,9.0,1.0,0,86.38,1
1,one_year,4.0,2.0,0,85.01,0
33,two_year,4.0,0.0,0,66.89,0
11,two_year,9.0,1.0,0,50.81,0
44,two_year,8.0,1.0,0,102.44,0
6,two_year,7.0,1.0,0,44.68,0
13,one_year,9.0,1.0,1,55.2,1
49,two_year,8.0,0.0,1,82.91,0
10,two_year,8.0,2.0,0,94.51,0
1,one_year,5.0,0.0,2,53.91,0
45,one_year,9.0,1.0,0,108.06,0
12,one_year,9.0,1.0,0,120.55,0
6,one_year,4.0,1.0,1,69.65,0
50,two_year,8.0,2.0,1,55.69,0
53,two_year,5.0,2.0,1,117.49,1
4,one_year,7.0,2.0,0,112.34,0
1,two_year,9.0,1.0,1,40.57,1
17,one_year,7.0,1.0,1,104.3,0
1,one_year,6.0,1.0,0,90.46,0
25,two_year,9.0,0.0,0,86.56,0
1,two_year,4.0,0.0,0,107.91,0
12,one_year,3.0,0.0,0,82.24,1
2,one_year,6.0,0.0,1,81.63,0
2,one_year,7.0,1.0,0,39.21,0
21,two_year,9.0,0.0,0,101.88,0
1,month_to_month,5.0,2.0,0,75.18,1
21,one_year,7.0,0.0,0,98.17,0
19,one_year,5.0,1.0,0,38.45,0
10,one_year,3.0,0.0,0,73.69,0
6,two_year,7.0,1.0,0,60.41,0
72,one_year,2.0,0.0,0,84.54,0
2,one_year,5.0,2.0,0,86.65,1
23,two_year,5.0,1.0,0,105.89,0
59,one_year,8.0,1.0,1,104.04,0
13,two_year,3.0,0.0,0,89.69,0
42,two_year,9.0,0.0,0,57.57,0
28,one_year,5.0,1.0,0,76.81,0
41,two_year,1.0,1.0,0,110.75,0
2,one_year,5.0,1.0,0,111.0,0
25,two_year,6.0,0.0,1,60.09,1
36,two_year,4.0,0.0,1,62.83,1
23,two_year,9.0,1.0,0,100.51,0
12,one_year,6.0,0.0,0,110.06,0
27,one_year,5.0,1.0,0,115.68,0
33,one_year,6.0,2.0,0,112.05,0
41,two_year,9.0,0.0,0,96.43,0
11,two_year,5.0,2.0,1,75.96,1
10,one_year,6.0,0.0,1,58.03,1
8,one_year,9.0,1.0,0,97.03,0
1,one_year,3.0,3.0,1,96.91,0
11,two_year,6.0,0.0,0,101.97,0
12,two_year,6.0,1.0,0,60.06,0
16,two_year,7.0,1.0,1,49.73,0
1,two_year,9.0,1.0,5,101.67,0
35,one_year,8.0,2.0,0,78.4,0
24,one_year,7.0,2.0,0,94.68,1
22,two_year,9.0,0.0,0,105.25,0
72,one_year,4.0,1.0,0,75.77,0
9,one_year,8.0,0.0,0,81.79,0
33,one_year,9.0,0.0,0,111.94,0
22,one_year,8.0,0.0,1,75.04,0
9,one_year,3.0,0.0,1,95.17,1
27,two_year,7.0,0.0,0,82.02,1
19,one_year,5.0,0.0,0,109.94,0
2,one_year,5.0,0.0,0,83.6,0
9,one_year,3.0,0.0,0,87.67,0
72,two_year,7.0,0.0,0,96.54,0
47,one_year,2.0,2.0,1,98.33,0
23,two_year,8.0,1.0,1,116.91,0
43,month_to_month,4.0,0.0,1,68.6,0
26,one_year,7.0,0.0,1,71.05,0
19,two_year,7.0,0.0,1,79.04,0
20,two_year,8.0,1.0,0,32.31,0
9,one_year,7.0,0.0,0,77.78,0
3,one_year,8.0,1.0,2,102.69,0
8,one_year,3.0,0.0,2,76.63,0
34,month_to_month,6.0,1.0,0,58.92,1
46,two_year,7.0,0.0,0,44.14,0
72,one_year,5.0,0.0,1,109.06,0
72,one_year,6.0,1.0,0,71.39,1
1,two_year,5.0,1.0,0,79.82,0
20,two_year,3.0,0.0,0,106.21,0
5,one_year,4.0,1.0,0,124.65,0
23,one_year,9.0,4.0,1,43.85,0
9,one_year,6.0,1.0,0,121.58,0
3,one_year,4.0,2.0,1,67.44,0
11,one_year,9.0,1.0,1,94.52,0
10,one_year,7.0,0.0,1,78.84,0
4,two_year,8.0,0.0,0,72.29,0
22,one_year,6.0,0.0,0,70.23,0
13,two_year,8.0,1.0,1,99.12,0
1,one_year,6.0,0.0,1,125.11,0
1,two_year,2.0,0.0,0,60.34,0
8,one_year,4.0,0.0,0,81.61,0
3,one_year,5.0,0.0,1,79.54,0
7,two_year,8.0,1.0,0,69.22,0
47,one_year,6.0,1.0,1,100.59,0
32,one_year,6.0,0.0,1,111.91,0
14,two_year,8.0,1.0,2,50.3,0
8,two_year,7.0,1.0,0,27.21,0
21,two_year,4.0,0.0,0,72.6,0
4,two_year,3.0,0.0,0,100.94,0
42,two_year,6.0,2.0,0,73.86,0
12,one_year,2.0,1.0,0,90.49,0
64,two_year,5.0,0.0,0,68.26,0
19,one_year,5.0,1.0,0,58.25,1
27,two_year,7.0,0.0,0,104.14,0
34,one_year,7.0,1.0,0,52.22,0
44,two_year,8.0,0.0,0,63.76,0
32,one_year,5.0,0.0,1,91.6,0
12,one_year,8.0,3.0,1,114.28,0
3,one_year,9.0,0.0,0,53.36,0
5,two_year,8.0,1.0,0,88.89,1
6,two_year,3.0,3.0,0,99.77,0
1,two_year,7.0,1.0,0,84.15,0
10,one_year,6.0,1.0,0,94.51,1
9,one_year,9.0,0.0,0,68.58,0
7,one_year,6.0,1.0,1,69.72,0
15,one_year,8.0,0.0,1,107.28,0
1,two_year,8.0,0.0,0,74.24,0
27,one_year,6.0,2.0,0,85.77,0
33,two_year,4.0,0.0,0,85.97,0
4,one_year,6.0,0.0,1,108.17,0
29,two_year,9.0,0.0,1,54.69,0
31,one_year,9.0,2.0,2,108.97,0
21,two_year,9.0,0.0,0,67.83,0
8,one_year,2.0,0.0,0,120.77,0
55,two_year,8.0,0.0,0,123.13,0
1,two_year,5.0,1.0,1,71.42,0
12,one_year,7.0,0.0,1,123.22,0
7,one_year,7.0,2.0,0,149.18,0
15,one_year,9.0,1.0,0,53.3,0
15,one_year,4.0,0.0,0,96.98,0
10,month_to_month,2.0,1.0,0,45.03,0
1,one_year,7.0,2.0,0,100.57,0
21,one_year,4.0,0.0,1,101.94,1
8,two_year,8.0,2.0,3,32.98,0
9,two_year,8.0,1.0,2,65.58,0
11,one_year,9.0,0.0,0,62.73,0
12,one_year,8.0,0.0,0,91.84,0
7,month_to_month,5.0,0.0,2,47.58,0
39,one_year,9.0,1.0,2,81.77,0
12,two_year,9.0,2.0,1,109.16,0
45,one_year,9.0,0.0,0,110.64,0
35,one_year,5.0,1.0,0,62.18,0
1,two_year,6.0,0.0,2,85.1,0
6,two_year,4.0,0.0,0,68.96,0
44,one_year,9.0,0.0,0,92.26,0
7,two_year,9.0,0.0,0,82.45,0
9,one_year,7.0,2.0,1,66.67,0
10,one_year,7.0,1.0,1,80.0,0
27,one_year,3.0,0.0,0,131.81,0
45,two_year,5.0,1.0,0,96.12,0
3,one_year,8.0,0.0,0,88.93,0
7,two_year,5.0,0.0,0,82.67,0
2,two_year,8.0,1.0,0,98.8,0
15,two_year,5.0,1.0,1,100.15,0
35,month_to_month,9.0,0.0,0,125.51,0
21,one_year,3.0,1.0,1,111.57,1
13,one_year,6.0,2.0,1,70.95,0
21,one_year,7.0,0.0,0,76.94,0
22,two_year,3.0,3.0,1,115.26,0
27,one_year,1.0,0.0,1,91.17,0
69,two_year,4.0,1.0,0,106.11,0
4,two_year,1.0,0.0,1,87.07,0
2,one_year,7.0,1.0,1,90.24,0
3,one_year,9.0,2.0,0,80.34,0
72,two_year,2.0,3.0,1,57.59,0
1,two_year,9.0,2.0,1,67.71,0
22,two_year,5.0,0.0,0,81.11,0
8,one_year,7.0,0.0,0,72.61,0
9,one_year,6.0,1.0,1,99.79,0
35,one_year,6.0,0.0,0,99.3,0
16,month_to_month,2.0,1.0,0,74.15,1
13,two_year,8.0,3.0,0,95.36,0
9,one_year,7.0,3.0,0,42.81,0
2,one_year,7.0,0.0,2,61.57,1
29,one_year,1.0,0.0,1,68.42,1
72,one_year,7.0,0.0,0,113.5,1
5,two_year,6.0,1.0,0,92.59,0
54,one_year,9.0,0.0,0,103.78,0
9,two_year,8.0,1.0,0,42.92,0
7,two_year,8.0,0.0,0,91.09,0
19,one_year,9.0,0.0,0,57.52,0
16,one_year,8.0,0.0,0,84.7,0
7,one_year,9.0,1.0,1,99.48,0
5,one_year,8.0,0.0,1,81.6,0
1,one_year,9.0,1.0,1,129.98,0
57,two_year,4.0,2.0,1,96.22,0
26,one_year,9.0,0.0,0,39.8,0
7,two_year,9.0,0.0,0,103.41,0
2,two_year,4.0,2.0,0,95.67,0
7,one_year,9.0,0.0,0,129.53,0
37,one_year,8.0,0.0,0,117.14,0
37,one_year,8.0,1.0,1,92.51,0
9,two_year,5.0,0.0,0,125.83,0
18,two_year,5.0,1.0,0,98.86,0
19,two_year,8.0,1.0,0,94.49,0
11,two_year,9.0,0.0,0,96.14,0
8,two_year,4.0,2.0,1,70.59,0
64,one_year,4.0,1.0,0,104.72,0
1,two_year,4.0,0.0,0,115.63,0
42,one_year,9.0,0.0,2,107.87,0
27,one_year,9.0,3.0,1,48.19,0
7,one_year,7.0,0.0,0,82.73,0
24,one_year,6.0,0.0,1,67.57,0
12,one_year,3.0,1.0,0,122.96,0
33,one_year,3.0,1.0,2,57.74,0
20,one_year,5.0,0.0,0,109.17,0
35,one_year,7.0,0.0,0,127.96,0
20,one_year,7.0,0.0,0,90.9,0
6,one_year,7.0,0.0,0,53.73,0
33,two_year,6.0,0.0,0,55.51,0
13,one_year,1.0,3.0,0,78.75,0
45,two_year,8.0,1.0,0,110.12,0
36,two_year,5.0,2.0,0,124.3,0
3,one_year,2.0,1.0,1,109.58,0
72,two_year,9.0,1.0,0,57.4,0
11,one_year,1.0,0.0,0,57.96,0
29,one_year,9.0,0.0,2,71.95,1
5,two_year,2.0,0.0,0,98.47,0
6,one_year,4.0,0.0,1,125.55,0
20,one_year,8.0,1.0,0,91.9,0
23,two_year,7.0,1.0,0,56.91,0
4,one_year,8.0,1.0,1,123.92,0
7,two_year,7.0,1.0,0,74.61,0
5,two_year,7.0,2.0,0,39.95,0
62,two_year,7.0,1.0,1,61.78,0
8,one_year,7.0,0.0,0,96.19,0
9,one_year,4.0,0.0,0,52.54,0
19,one_year,7.0,1.0,0,102.01,1
23,one_year,3.0,1.0,1,52.94,0
4,two_year,5.0,0.0,1,78.25,0
9,one_year,9.0,1.0,0,60.4,0
6,one_year,2.0,0.0,0,54.28,0
1,two_year,3.0,0.0,0,158.88,0
2,one_year,7.0,3.0,1,51.89,0
11,one_year,3.0,1.0,1,57.55,0
21,two_year,8.0,0.0,1,103.41,0
21,one_year,6.0,0.0,2,52.01,0
4,two_year,5.0,0.0,0,76.1,0
14,two_year,8.0,1.0,0,107.79,0
19,one_year,5.0,0.0,0,116.18,0
66,one_year,1.0,0.0,0,135.05,0
48,one_year,7.0,2.0,1,32.46,0
2,one_year,9.0,0.0,0,76.9,0
15,one_year,9.0,1.0,0,85.02,1
11,one_year,4.0,0.0,2,93.7,0
53,one_year,4.0,1.0,0,93.06,0
20,two_year,9.0,0.0,0,81.61,0
8,one_year,5.0,1.0,1,101.05,0
11,one_year,3.0,1.0,0,125.57,0
44,two_year,7.0,0.0,0,66.11,0
70,one_year,9.0,0.0,0,95.46,0
1,two_year,6.0,0.0,2,85.42,1
11,one_year,9.0,0.0,0,108.25,0
3,two_year,9.0,1.0,1,93.91,0
12,month_to_month,8.0,2.0,1,61.61,0
22,two_year,4.0,2.0,0,28.84,0
2,one_year,7.0,1.0,0,103.5,0
43,one_year,6.0,1.0,0,48.04,0
3,one_year,2.0,0.0,0,90.13,1
23,two_year,6.0,1.0,1,97.58,0
67,two_year,4.0,2.0,1,107.08,0
12,month_to_month,1.0,0.0,1,61.42,0
16,two_year,6.0,2.0,1,41.73,0
1,two_year,8.0,0.0,0,74.89,0
56,one_year,4.0,1.0,2,130.91,0
26,one_year,7.0,0.0,0,82.59,0
56,two_year,9.0,1.0,0,97.97,0
1,two_year,7.0,0.0,1,85.09,0
72,two_year,5.0,1.0,1,91.96,0
32,one_year,8.0,0.0,0,82.42,0
